ham,Hey are we still meeting tomorrow?
spam,You won a lottery! Click here to claim your prize.
ham,Please find the attached report.
spam,Claim your free voucher now!
ham,Are you coming to the office today?
spam,Your account has been suspended! Verify now.
ham,Let's schedule the meeting for Monday.
spam,Congratulations! You have been selected for a free gift.
ham,Call me when you reach home.
spam,You have been chosen to receive a $1000 gift card.
ham,Did you submit the assignment?
spam,URGENT! Your bank account will be closed. Act now.
ham,We can have lunch together if you’re free.
spam,Free Bitcoin giveaway! Limited time offer.
ham,Please respond to my email as soon as possible.
spam,Win a brand new iPhone today! Limited seats.
ham,I'll send the document after the meeting.
spam,Your mobile number has won 25,000 rupees. Click to claim.
ham,Can you share the meeting link?
spam,FREE access to premium courses. Register now.
ham,Let me know if you need help with the presentation.
spam,Your PayPal account has an unauthorized login.
ham,Let's leave early today.
spam,Lottery confirmed! You are the lucky winner.
ham,I will update you shortly.
spam,Get rich quickly with this crypto scheme.
ham,Don't forget the team call at 3 PM.
spam,Attention! Your ATM card is blocked.
ham,The file has been uploaded to Drive.
spam,Exclusive deal! Buy now and save 70%.
ham,Can you help me with this code?
spam,You have a pending delivery. Pay ₹50 to release your package.
ham,Meeting rescheduled to Friday.
spam,Act now to prevent SIM deactivation.
ham,Let me know your availability.
spam,Get free Netflix subscription for 1 year.
ham,Thanks for your support.
spam,Click here to verify your KYC immediately.
ham,I will share the screenshots.
spam,Your Amazon account will be locked in 24 hours.
ham,Let's review the design tomorrow.
spam,Congratulations! You earned a scratch reward.
ham,I'll check and get back to you.
spam,Win a free vacation trip to Maldives.
ham,Please send the invoice.
spam,Unlock free rewards! Log in now.
ham,Let me know once you're done.
spam,Your credit score is low. Improve instantly!
ham,Are we still on for dinner?
spam,Your password will expire. Reset immediately.
ham,I’ll call you after the meeting.
spam,You were selected for a cash prize.
ham,Don't forget to submit your ID card.
spam,You have been shortlisted for a bonus reward.
ham,I’ll handle it.
spam,Your mobile bill is overdue. Pay now to avoid fines.
ham,What time should we start?
spam,Get paid ₹10,000 per day working from home.
ham,I'll reply in a minute.
spam,CLICK NOW—final chance to win ₹50,000.
ham,Let's move the discussion to tomorrow.
spam,Your WhatsApp number is selected for a special prize.
ham,Thanks for informing me.
spam,Your UPI account will be disabled in 24 hrs.
ham,Send me the final version.
spam,FREE insurance benefits available. Register today.
ham,I’ll meet you at the cafeteria.
spam,Exclusive sunglasses discount! Only today.
ham,Can you share the updated timeline?
spam,Your electricity connection will be cut—pay immediately.
ham,I'll double check and confirm.
spam,Final notice! Pay your overdue amount now.
ham,Are you joining the Zoom call?
spam,You won 5 lakh rupees. Verify details now.
ham,The server is back online.
spam,Celebrate Diwali with HUGE discounts!
ham,Let me know if you face any issues.
spam,Get a free credit report now.
ham,Thank you for the update.
spam,Your GST details need urgent verification.
ham,I'll finish the task soon.
spam,You are selected for a free Diwali gift box!
ham,See you after lunch.
spam,Limited time bonus reward. Claim now.
ham,Please check the notes I sent.
spam,You are pre-approved for a high-value loan.
ham,Join the meeting at 10 AM.
spam,Win cash instantly! Spin the wheel.
ham,I’ll send it in the morning.
spam,Pay ₹10 to complete KYC and receive ₹500 cashback.
ham,Call me after work.
spam,Free laptop offer for students! Register now.
ham,I’m out for lunch, will reply later.
spam,This is your final reminder to update PAN details.
ham,Share the feedback after review.
spam,Congratulations! You are today's lucky winner.
ham,I'll complete this by evening.
spam,Your SBI account has suspicious activity.
ham,Don’t forget the appointment.
spam,Free recharge coupon worth ₹100.
ham,Let's catch up soon.
spam,Your loan request is approved. Click to proceed.
ham,Check your calendar for availability.
spam,Your SIM will be disabled for KYC failure.
ham,I’ll create the report.
spam,Gift your loved ones! Limited stock sale.
ham,Where should we meet?
spam,You have won a cash reward of ₹75,000.
ham,Talk to you later.
spam,Early Black Friday sale up to 90% OFF!
ham,I sent you the correct file now.
spam,Your PAN card is invalid. Update now.
ham,I will look into this tomorrow.
spam,Congrats! You got a ₹1,000 shopping reward.
ham,Join the call in 5 minutes.
spam,Renew your subscription to avoid deactivation.
ham,All done from my side.
spam,Big offer! Get free trial access today.
ham,I’ll bring the documents.
spam,Your mobile number has been randomly selected for prize money.
ham,That sounds good to me.
spam,Don't miss out—final discount ends tonight.
ham,We will fix this soon.
spam,Update Aadhaar immediately to avoid penalties.
spam,Limited-time offer! Save 70% on all products.
ham,Did you receive my previous email about the project?
spam,Your package is waiting for delivery confirmation.
ham,Let's go for dinner tonight if you're free.
spam,This is your FINAL warning. Update your account immediately.
ham,Thank you for your payment. Your order is confirmed.
spam,Win a free vacation to Dubai. Register now!
ham,Please review the attached document and revert.
spam,Your refund of $900 is ready. Provide your bank details.
ham,Can you send me the notes from yesterday's meeting?
spam,Congratulations! Claim your Amazon gift card here.
ham,I'll be late to the office today.
spam,You have been selected for a free membership!
ham,Don't forget the appointment at 3 PM.
spam,Your Netflix account has been locked. Verify here.
ham,Happy birthday! Hope you have a wonderful day.
spam,You have pending rewards. Click to claim now.
ham,Can you book a cab for the morning?
